text,sentiment
picture doesn t represent well there is a terribly done band across the top supposed to keep the shirt on your shoulders but seems more of like a waistband,0
been months and my return is still not processed the watch has great features my only concern was that the screen was to hard to see you can actually see the watch face better in direct sunlight inside where i work i can hard see the screen,0
way too big i ordered a size down since i like the bands to feel snug and secure but it was wayyyy too big i cant even wear them because they slide down or roll up its unfortunate because i was so excited to order them the material on the band also is not sticky enough to adhere to the pants wish i would ve returned when i had the chance,0
useless and even worse damaging thia style of tap is garbage these have failed every single time i ve used them even after using pliers to seat tap and tape to hold the assembly together they damage the supply wire terribly often leaving only or strands unbroken do not buy these watch a few youtube videos on splice taps if you feel you need to run power from an existing component feed,0
nice at first does not last overall great purchase i had been looking for a while for a band decently priced for the gear fit pro comfort is great no hair snags yet the edges are clean i have only had for one week but the finish is holding up nicely wear every day for the most part most of the day great purchase as there were no reviews wanted to provide something for others update weeks later product broke band slipped out of watch connection started to fade shortly after this review overall don t waste your money unless you re looking for a band that will last you about months,0
watch not ticking the watch is beautiful but it is not working,0
did not work as a band replacement for my fitbit did not work as a band replacement for my fitbit surge the top band did not slide on the entire way,0
bad this was to replace my broken band one side of this one doesn t fit exactly right so it has a gap in it,0
band stays dirty and can t be cleaned i wear my fitbit every day normal wear desk job run nothing out of the ordinary the band is extremely dirty and can t be cleaned i tried cleaning it with everything and it s really dirty looking after only a month of wearing it,0
not useful very disappointed just purchased an apple watch series and i wanted to protect the screen face these screen protector fit the face however the interaction feel with the watch is often unresponsive making the experience a big disappointment i will not be using these screen protectors,0
turned color not satisfied bought it to go to mexico so i could go in water wore it for days in pool and straps turn all yellow so now the watch is white but the straps are all yellow ugly,0
magnet is not strong enough in my opinion the magnet on this band is extremely weak it constantly slides and loosens all day long if the magnet held i would have given stars it s very comfortable i m just annoyed that i have to tighten the strap back up every minutes or so,0
make it shorter it was cute but what a waste of money it was cute but when i tried making it shorter with the tools that were provided the little tool to take out the band got stuck in one of the links and one of the little pins from the link got stuck when i tried taking them out to make it shorter it was cute but what a waste of money,0
my luck ran out this is not your normal lil mover diapers i had the same thing happen to my son as some of the other reviewers shortly after starting to use these my son broke out in a horrible rash we have used this diaper before from else where with no issue and even from amazon also if your not extremely careful in how you place the diaper the band will cut your child s leg hip area very displeased in these would not recommend buying these i m thinking maybe some of these are not really huggies thrown in with real ones because of the reviews and my own experience it seems like maybe one in or so is a knock off and if you get them it s horrible i don t plan to risk it again furthermore for my son to break out in such a way it worries me of what these diapers contain i hope they don t have some harmful chemical on them my son does not have sensitive skin and has never broke out like this before,0
don t buy these these are either total garbage or i have some very smart wasp and hornets i ve watch at least go in and get out whenever they want has yet to trap one forever,0
ruins when you use with your watch in the water it s not waterproof and will start to ruin the moment you use your watch in the water if you plan on swimming or bathing with your watch one i do not recommend this protector find one of those glass tempered ones,0
don t buy from save right the seller save right sent me a watch that appeared to have already been opened and returned the box was damaged and looked old i wanted to give it the benefit of the doubt so tried to charge it but it soon became clear the watch had previously been returned because it doesn t work make sure you re buying from a reputable seller this one stinks,0
that watch have to come with some kind the advice the you need paid another service in order to used that watch i never fine the way to work ask me for change my phone number plus i have to paid for returns,0
counterfeit ugg purchased these boots last year and went through amazon for the price which was about loved them they were cute and fit nicely but they are no longer wearable as the sole of the boot has pulled away from the base right boot only i do not believe that this is an authentic ugg product and believe i purchased a knock off it s too late for a refund obviously just wanted to post my displeasure and my disappointment that amazon is unable to curtail counterfeit dealers,0
not durable while the band is comfortable and easy to install it s not durable at all the adjustment notches started to rip after only months of use not worth the price your pay,0
broke after first use first time using the elastic band it broke i used other similar products that lasted over a year,0
